Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif;
2025-01-01 00:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 01:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 02:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 03:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 04:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 05:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 06:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 07:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 08:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 09:00:00 CEST;"0;078125";"0;25";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;435546875";"3;71484375";0,0kWh;
2025-01-01 10:00:00 CEST;"0;125";"0;375";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;7626953125";"6;31640625";0,0kWh;
2025-01-01 11:00:00 CEST;"0;125";"0;375";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;7529296875";"6;419921875";0,0kWh;
2025-01-01 12:00:00 CEST;"18;734375";"21;5";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;7568359375";"5;734375";0,0kWh;
2025-01-01 13:00:00 CEST;"9;796875";"19;875";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;7119140625";"4;15234375";0,0kWh;
2025-01-01 14:00:00 CEST;"4;875";"11;125";0,0kWh;"0;0859375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;3623046875";"1;685546875";0,0kWh;
2025-01-01 15:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-01 16:00:00 CEST;"9;109375";"9;75";0,0kWh;"0;046875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;244140625";"1;60546875";0,0kWh;
2025-01-01 17:00:00 CEST;"10;734375";"19;75";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;751953125";"5;978515625";0,0kWh;
2025-01-01 18:00:00 CEST;"9;5625";"19;125";0,0kWh;"0;140625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;6962890625";"5;712890625";0,0kWh;
2025-01-01 19:00:00 CEST;"10;03125";"17;875";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;6318359375";"6;03515625";0,0kWh;
2025-01-01 20:00:00 CEST;"9;6875";"17;5";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;61328125";"5;61328125";0,0kWh;
2025-01-01 21:00:00 CEST;"9;1875";"16;75";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;6044921875";"5;4375";0,0kWh;
2025-01-01 22:00:00 CEST;"10;203125";"16;375";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;5751953125";"5;646484375";0,0kWh;
2025-01-01 23:00:00 CEST;"7;03125";"12;5";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;412109375";"4;044921875";0,0kWh;
2025-01-02 00:00:00 CEST;"9;296875";"16;5";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;53125";"5;974609375";0,0kWh;
2025-01-02 01:00:00 CEST;"9;84375";"16;375";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;521484375";"5;375";0,0kWh;
2025-01-02 02:00:00 CEST;"10;171875";"16;125";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;5146484375";"5;466796875";0,0kWh;
2025-01-02 03:00:00 CEST;"9;328125";"16;25";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;5068359375";"5;462890625";0,0kWh;
2025-01-02 04:00:00 CEST;"9;765625";16,0kWh;0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;5029296875";"5;244140625";0,0kWh;
2025-01-02 05:00:00 CEST;"10;109375";16,0kWh;0,0kWh;"0;15625";0,0kWh;"1;73583984375";0,0kWh;0,0kWh;0,0kWh;"0;5";"5;58984375";0,0kWh;
2025-01-02 06:00:00 CEST;"23;234375";"22;625";0,0kWh;"0;1484375";0,0kWh;"10;5576171875";"14;88671875";"9;9375";0,0kWh;"10;2607421875";"5;560546875";0,0kWh;
2025-01-02 07:00:00 CEST;"81;390625";82,0kWh;"26;6875";"21;7265625";0,0kWh;"8;8388671875";"56;65625";"40;5625";0,0kWh;"18;3046875";"16;751953125";"0;1875";
2025-01-02 08:00:00 CEST;"67;5625";"99;625";"40;5";"10;6640625";0,0kWh;"8;6064453125";"56;16015625";"40;65625";0,0kWh;"13;6953125";"14;126953125";"0;21875";
2025-01-02 09:00:00 CEST;"62;203125";"95;375";"32;9375";"1;6328125";0,0kWh;"8;068359375";"56;76953125";"40;84375";0,0kWh;"13;115234375";"12;607421875";"0;21875";
2025-01-02 10:00:00 CEST;"81;265625";"92;25";"29;5625";"1;625";0,0kWh;"8;0791015625";"54;65234375";"40;78125";0,0kWh;"12;50390625";"12;138671875";"0;21875";
2025-01-02 11:00:00 CEST;"112;09375";"82;25";"29;375";"1;6171875";0,0kWh;"7;93359375";"55;921875";"40;625";0,0kWh;"11;375";"12;966796875";"0;21875";
2025-01-02 12:00:00 CEST;"108;84375";"92;5";"29;0625";"1;6171875";0,0kWh;"7;880859375";"56;29296875";"41;0625";0,0kWh;"11;451171875";"12;9296875";"0;21875";
2025-01-02 13:00:00 CEST;"62;484375";"93;375";"33;875";"1;625";0,0kWh;"7;88720703125";"56;40625";"40;28125";0,0kWh;"11;337890625";"12;828125";"0;21875";
2025-01-02 14:00:00 CEST;"85;875";"92;125";"36;375";"1;609375";0,0kWh;"8;43212890625";"56;18359375";"40;3125";0,0kWh;"10;8193359375";"12;6328125";0,0kWh;
2025-01-02 15:00:00 CEST;"64;015625";91,0kWh;"31;5";"1;6171875";0,0kWh;"7;96728515625";"50;09765625";"40;5";0,0kWh;"11;4814453125";"12;21484375";0,0kWh;
2025-01-02 16:00:00 CEST;"112;40625";"90;125";"34;25";"1;6171875";0,0kWh;"8;173828125";"56;62109375";"40;5";0,0kWh;"11;4169921875";"12;220703125";0,0kWh;
2025-01-02 17:00:00 CEST;"114;75";"94;375";"29;3125";"1;6015625";0,0kWh;"8;0068359375";"44;59375";"40;96875";0,0kWh;"12;1806640625";"12;4921875";0,0kWh;
2025-01-02 18:00:00 CEST;"113;78125";"92;125";"28;875";"1;6015625";0,0kWh;"7;73681640625";"54;3984375";"41;15625";0,0kWh;"11;017578125";"12;419921875";0,0kWh;
2025-01-02 19:00:00 CEST;107,0kWh;"89;25";"29;3125";"1;609375";0,0kWh;"7;85400390625";"56;328125";"23;34375";0,0kWh;"11;04296875";"11;310546875";0,0kWh;
2025-01-02 20:00:00 CEST;"74;71875";"46;125";"36;75";"4;0546875";0,0kWh;"4;87060546875";"53;359375";"1;5625";0,0kWh;"13;1962890625";"11;34375";0,0kWh;
2025-01-02 21:00:00 CEST;"6;171875";"47;25";"35;3125";"30;0546875";0,0kWh;0,0kWh;"56;296875";"1;4375";0,0kWh;"12;2294921875";"9;45703125";0,0kWh;
2025-01-02 22:00:00 CEST;"5;375";"53;25";"37;8125";"21;4375";0,0kWh;0,0kWh;"56;36328125";"1;53125";0,0kWh;"13;5849609375";"6;873046875";0,0kWh;
2025-01-02 23:00:00 CEST;"4;78125";"78;625";"26;5625";"17;578125";0,0kWh;0,0kWh;"42;6328125";"1;1875";0,0kWh;"9;931640625";"4;931640625";0,0kWh;
2025-01-03 00:00:00 CEST;"5;21875";"100;375";39,0kWh;"17;25";0,0kWh;0,0kWh;"55;8046875";"1;5625";0,0kWh;"12;7919921875";"6;498046875";0,0kWh;
2025-01-03 01:00:00 CEST;"5;671875";"97;25";"30;1875";"17;3125";0,0kWh;0,0kWh;26,0kWh;"18;90625";0,0kWh;"12;919921875";"6;41015625";0,0kWh;
